Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
1luP1KEaCBIPTQfdW8ITk8,0.0231,0.726,159934,0.786,0,5,0.287,-3.354,0,0.343,180.903,4,0.868,2
5AM0DnN4thWzUDmaAokVw1,0.458,0.733,168107,0.442,0.003,0,0.695,-8.167,1,0.483,187.82,4,0.787,2
2xUHiyGeGrWmmfv7NbDTWC,0.0111,0.498,254022,0.844,0,2,0.102,-2.834,1,0.268,88.435,4,0.282,2
0tShdTlRbZas6OFwEkX56U,0.958,0.887,108960,0.336,4.02E-06,0,0.0986,-10.814,1,0.0453,133.956,4,0.78,2
5K8cgjL8hGTXpi5Z6uJFwe,0.046,0.728,193381,0.84,0.00131,8,0.579,-4.206,1,0.0699,94.954,4,0.715,2
7a47eEfg6kJf8nbZzhh8aY,0.792,0.576,274322,0.276,0.403,7,0.109,-24.63,0,0.0395,118.006,4,0.23,1
5ROZkR98PX7FQBNOEi2FmC,0.0954,0.823,209216,0.664,0,9,0.0655,-6.095,1,0.0413,118.041,4,0.786,2
1gOgD0StUT6cnDvJ3AkXFk,0.904,0.58,239480,0.163,0,10,0.0966,-11.533,1,0.0395,134.593,4,0.413,1
5IwUFTiNkarb5HEtNRtRtc,0.0196,0.598,217425,0.872,0,6,0.326,-4.567,0,0.0328,107.009,4,0.609,2
051rnjzhEahdmB5qS5Mc0F,0.638,0.533,214787,0.463,0.378,6,0.214,-10.956,0,0.0697,155.069,4,0.384,2
3FoiMgXMrO3D5FeJuotKyZ,0.0417,0.596,209519,0.893,0,1,0.315,-3.43,0,0.16,79.889,4,0.526,2
7oIYK0JfNVotUtB0pjI7DC,0.0463,0.6,220455,0.638,0,1,0.0785,-8.592,1,0.548,80.059,4,0.444,2
2QFF5cJ3quznBioa5dO9SA,0.772,0.431,240013,0.281,0.000318,0,0.131,-9.917,1,0.0293,106.797,4,0.246,1
1ckLp8lCl8LipXI0ypX72m,0.703,0.746,200680,0.559,0,5,0.148,-4.008,1,0.0316,117.943,4,0.368,3
2dgFqt3w9xIQRjhPtwNk3D,0.454,0.712,198533,0.732,0,4,0.319,-6.754,1,0.0629,94.071,4,0.313,3
3Woz4yXgXOSTs6Yc0Oh2Es,0.00272,0.351,279912,0.675,0.000122,3,0.407,-10.073,1,0.0343,168.016,4,0.335,2
