Track ID,accousticness,danceability,duration,energy,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
3JhlUFSZlL8QQvf8X8AiUm,0.893,0.541,180371,0.395,1.43e-05,0,0.395,0.117,-10.445,1,0.0406,82.853,4,0.309,5
3Zm72tJ85zTse3CtGdLMsB,0.0193,0.438,199492,0.625,0,11,0.625,0.106,-6.94,1,0.0289,99.548,4,0.353,20
6de1K03k0HdPE6ffX3qn0D,9.71e-05,0.476,180133,0.933,0.000134,7,0.933,0.25,-5.085,1,0.0453,152.109,4,0.782,3
4loAa1lBkE83qJXU1ddmCV,0.214,0.683,245664,0.329,3.74e-06,1,0.329,0.127,-9.155,0,0.123,149.957,4,0.229,51
7G6U07xz0N5yoU5xXFnTMY,0.454,0.758,174024,0.719,0,9,0.719,0.113,-5.268,0,0.275,144.248,4,0.302,23
4hprPU7DI8IvSQpRtIw2S8,0.646,0.209,62893,0.242,0.991,3,0.242,0.449,-15.946,0,0.0404,92.343,4,0.0393,28
727o1zmLOzQS78HdehieRJ,0.0811,0.442,332766,0.712,4.13e-05,3,0.712,0.12,-6.915,0,0.0314,128.567,4,0.419,27
7xH5YeDA6NIgcTAmarz3fw,0.000275,0.478,435493,0.742,0.00671,1,0.742,0.0996,-5.569,0,0.0293,105.001,4,0.251,38
0ctBsZVhuR5neBVKhidPLt,0.286,0.735,82347,0.875,0,10,0.875,0.0748,-2.743,1,0.106,160.736,4,0.929,39
16wWFYS9S4hKBk2Ofj3Ss6,0.0438,0.884,170200,0.547,0,11,0.547,0.124,-7.492,1,0.387,158.019,4,0.425,57
0DvoYdS8ZlvbHXYj4gGstB,0.263,0.34,234593,0.49,0.359,6,0.49,0.0856,-9.455,0,0.0385,159.778,3,0.0984,28
2TIVDrIGj1CrwDabUXqqNR,0.0578,0.596,137223,0.623,0,4,0.623,0.0939,-4.443,0,0.0616,187.982,4,0.488,53
5NCBGyWQXC74CFHLOE8SXu,0.000258,0.464,199723,0.995,1.1e-05,10,0.995,0.0681,-0.453,0,0.2,143.049,4,0.154,39
4VudmL1997hLZjuzwfHj4m,0.00194,0.342,339039,0.882,3.81e-05,0,0.882,0.313,-5.903,1,0.0676,129.091,4,0.229,44
4tIj9moC5Su9HPU48vBbF5,0.865,0.338,282720,0.526,1.01e-05,2,0.526,0.604,-8.629,0,0.0333,111.996,4,0.355,31
53bwArVbvrLDhIQTKboA5W,0.0608,0.784,317333,0.854,0.00365,0,0.854,0.248,-3.4,1,0.0384,124.023,4,0.596,37
