Sammy Hagar & The Circle,Space Between
Tim Hecker,Anoyo
The Screaming Jets,Dirty Thirty
Whitesnake,Flesh & Blood
Alex Lahey,The Best of Luck Club
Biffy Clyro,"Balance, Not Symmetry"
Big Big Train,Grand Tour
Carly Rae Jepsen,Dedicated
Conrad Sewell,Life
DJ Khaled,Father of Asahd
Eleni Foureira,Gypsy Woman
Frenship,Vacation
The Heavy,Sons
Injury Reserve,Injury Reserve
Interpol,A Fine Mess
Lewis Capaldi,Divinely Uninspired to a Hellish Extent
Maluma,11:11
Megan Thee Stallion,Fever
The National,I Am Easy to Find
Rammstein,Untitled
Slowthai,Nothing Great About Britain
"Tyler, the Creator",Igor
Wu-Tang Clan,Wu-Tang: Of Mics and Men
Got7,Spinning Top
Black Mountain,Destroyer
Flying Lotus,Flamagra
Jai Waetford,Figure It Out
Middle Kids,New Songs for Old Problems
Morrissey,California Son
pronoun,I'll Show You Stronger
Suicideboys and Travis Barker,Live Fast Die Whenever
YG,4Real 4Real
Various artists,Rocketman: Music from the Motion Picture
Alice Caymmi,Electra
100 Gecs,1000 Gecs
Darkthrone,Old Star
Death Angel,Humanicide
Denzel Curry,Zuu
Gabbie Hanna,2WayMirror
Inna,Yo
ionnalee,Remember the Future
Jimmy Barnes,My Criminal Record
Kenny Wayne Shepherd Band,The Traveler
Miley Cyrus,She Is Coming
Skepta,Ignorance Is Bliss
Susan Boyle,Ten
Thomas Rhett,Center Point Road
Artist,Album
Avicii,Tim
Aitana,Spoiler
Aurora,A Different Kind of Human (Step 2)
Motionless in White,Disguise
Combichrist,One Fire
Dinosaur Pile-Up,Celebrity Mansions
Future,Save Me
Jamie Cullum,Taller
Jonas Brothers,Happiness Begins
Luke Combs,The Prequel
Meg Mac,Hope
Polish Club,Iguana
Prince,Originals
Richard Hawley,Further
Santana,Africa Speaks
Silversun Pickups,Widow's Weeds
Stef Chura,Midnight
Tyga,Legendary
Yeasayer,Erotic Reruns
GoldLink,Diaspora
Baroness,Gold & Grey
Bastille,Doom Days
Bill Callahan,Shepherd in a Sheepskin Vest
BlocBoy JB,I Am Me
Bruce Springsteen,Western Stars
Hayden James,Between Us
Keb' Mo',Oklahoma
Lil Keed,Long Live Mexico
Madonna,Madame X
Noah Kahan,Busyhead
Stonefield,Bent
Thank You Scientist,Terraformer
X Ambassadors,Orion
Zhavia Ward,17
Red Velvet,The ReVe Festival: Day 1
Collective Soul,Blood
Gucci Mane,Delusions of Grandeur
Hatchie,Keepsake
Hot Chip,A Bath Full of Ecstasy
Lil Nas X,7
Mark Ronson,Late Night Feelings
The Raconteurs,Help Us Stranger
SG Lewis,Dawn
Titus Andronicus,An Obelisk
Trina,The One
Two Door Cinema Club,False Alarm
Will Young,Lexicon
Thom Yorke,Anima
Benee,Fire on Marzz
The Black Keys,Let's Rock
Chase Atlantic,Phases
Chris Brown,Indigo
He Is Legend,White Bat
Ingrid Michaelson,Stranger Songs
Julia Michaels,Inner Monologue Part 2
Kim Petras,Clarity
Kylie Minogue,Step Back in Time: The Definitive Collection
Mustard,Perfect Ten
Poppy,Choke
Gandalf's Fist,The Clockwork Prologue
GFriend,Fever Season
Marshmello,Joytime III
Abbath,Outstrider
Jaden Smith,Erys
Jipsta,Swaggerific
Machine Gun Kelly,Hotel Diablo
Michael Hutchence,Mystify: A Musical Journey with Michael Hutchence
Olympia,Flamingo
Various artists,Revenge of the Dreamers III
311,Voyager
Allday,Starry Night Over the Phone
Banks,III
Dope Lemon,Smooth Big Cat
Ed Sheeran,No.6 Collaborations Project
Imperial Teen,Now We Are Timeless
K.Flay,Solutions
Purple Mountains,Purple Mountains
Shindy,Drama
Thelma Plum,Better in Blak
Yuna,Rouge
Dorian Electra,Flamboyant
Beyoncé,The Lion King: The Gift
Freya Ridings,Freya Ridings
Iggy Azalea,In My Defense
Jacob Collier,Djesse Vol. 2
Nas,The Lost Tapes II
Sabaton,The Great War
Sabrina Carpenter,Singular: Act II
Scott Stapp,The Space Between the Shadows
Sum 41,Order in Decline
Willow Smith,Willow
Andy Grammer,Naive
Angie McMahon,Salt
Chance the Rapper,The Big Day
Cuco,Para Mi
DJ Snake,Carte Blanche
Kaiser Chiefs,Duck
Mini Mansions,Guy Walks Into a Bar...
NF,The Search
Of Monsters and Men,Fever Dream
ShockOne,A Dark Machine
Bad Omens,Finding God Before God Finds Me
Clairo,Immunity
Drake,Care Package
Holy Holy,My Own Pool of Light
Mabel,High Expectations
Northlane,Alien
Skillet,Victorious
The Teskey Brothers,Run Home Slow
Volbeat,"Rewind, Replay, Rebound"
Bon Iver,"I, I"
Dirty Heads,Super Moon
Electric Youth,Memory Emotion
Gina Jeffreys,Beautiful Tangle
Half Alive,"Now, Not Yet"
The Regrettes,How Do You Love?
Rick Ross,Port of Miami 2
Safia,Story's Start or End
Slipknot,We Are Not Your Kind
Strung Out,Songs of Armor and Devotion
Tori Kelly,Inspired By True Events
Trippie Redd,!
Ufo361,Wave
Fletcher,You Ruined New York City for Me
Frank Turner,No Man's Land
Hunter Hayes,Wild Blue (Part I)
Illenium,Ascend
