Jeff Rosenstock,POST-
The Smashing Pumpkins,"Shiny and Oh So Bright, Vol. 1 / LP: No Past. No Future. No Sun."
Eros Ramazzotti,Vita ce n'è
Rita Ora,Phoenix
JID,DiCaprio 2
The 1975,A Brief Inquiry into Online Relationships
Alessia Cara,The Pains of Growing
Beth Hart,Live at the Royal Albert Hall
Clean Bandit,What Is Love?
Marco Mengoni,Atlantico
Meek Mill,Championships
Mel Parsons,Glass Heart
Metal Church,Damned If You Do
Infected Mushroom,Head of NASA and the 2 Amish Boys
Alan Walker,Different World
The Chainsmokers,Sick Boy
Kodak Black,Dying to Live
Zayn,Icarus Falls
Trisha Yearwood,Let's Be Frank
21 Savage,I Am > I Was
A Boogie wit da Hoodie,Hoodie SZN
Reel Big Fish,Life Sucks...Let's Dance!
Jolin Tsai,Ugly Beauty
